All,Visi
None,Neviens
"Allowed Scopes","Atļautie parametri"
"You need more permissions to apply some of the rule updates.","Jums nepieciešamas papildus tiesības, lai apstiprinātu noteikumu izmaiņas."
"More permissions are needed to save this item.","Nepieciešamas lielākas atļaujas lai saglabātu šo produktu."
"You need more permissions to access website ""%1"".","Jums nepieciešama atļauja lai piekļūtu lapai ""%1""."
"Role Scopes","Funkciju Parametri"
Custom,Pielāgots
"Read Details","Vairāk informācijas"
"Mark as Read","Atzīmēt kā izlasītu"
"Are you sure?","Vai esat pārliecināts?"
Remove,Dzēst
"Messages Inbox","Ziņu iesūtne"
"You have %1 new system messages","Jums ir %1 jaunas sistēmas ziņas"
"You have %1 new system message","Jums ir %1 jauna sistēmas ziņa"
"Incoming Message","Ienākošā ziņa"
close,aizvērt
Notifications,Paziņojumi
"The message has been marked as Read.","Ziņa atzīmēta kā izlasīta."
"We couldn't mark the notification as Read because of an error.","Kļūdas dēļ nevarēja atzīmēt ziņu kā izlasītu."
"Please select messages.","Izvēlieties ziņas."
"A total of %1 record(s) have been marked as Read.","Kopā %1 ziņa(s) atzīmētas kā izlasītas."
"Total of %1 record(s) have been removed.","Pavisam nodzēstas %1 ziņa(s)."
"We couldn't remove the messages because of an error.","Nevar nodzēst ziņu kļūdas dēļ."
"The message has been removed.","Ziņa ir nodzēsta."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Jūs apskatījāt un atrisinājātvisus sistēmas paziņojumus. Atjauninjiet lapu lai nodzēstu paziņojumu."
"1 Hour","1 stunda"
"2 Hours","2 stundas"
"6 Hours","6 stundas"
"12 Hours","12 stundas"
"24 Hours","24 stundas"
critical,kritisks
major,svarīgs
minor,mazsvarīgs
notice,paziņojums
"Wrong message type","Nepareizs ziņas veids"
"Wrong notification ID specified.","Norādīts nepareizs paziņojuma ID."
